[2026-06-09T09:59:21.451Z] GET https://klaravex.com/wp-admin/profile.php → pending (?ms, ?B)
[2026-06-09T09:59:22.101Z] GET https://klaravex.com/wp-login.php?redirect_to=https%3A%2F%2Fklaravex.com%2Fwp-admin%2Fprofile.php&reauth=1 → 200 (316ms, 3140B)
[2026-06-09T09:59:22.417Z] GET https://klaravex.com/wp-includes/css/dashicons.min.css → 200 (70ms, ?B)
[2026-06-09T09:59:22.417Z] GET https://klaravex.com/wp-includes/css/buttons.min.css → pending (?ms, ?B)
[2026-06-09T09:59:22.417Z] GET https://klaravex.com/wp-admin/css/forms.min.css → pending (?ms, ?B)
[2026-06-09T09:59:22.418Z] GET https://klaravex.com/wp-admin/css/l10n.min.css → pending (?ms, ?B)
[2026-06-09T09:59:22.418Z] GET https://klaravex.com/wp-includes/css/dist/base-styles/admin-schemes.min.css → pending (?ms, ?B)
[2026-06-09T09:59:22.418Z] GET https://klaravex.com/wp-admin/css/login.min.css → pending (?ms, ?B)
[2026-06-09T09:59:22.418Z] GET https://klaravex.com/wp-includes/js/clipboard.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.418Z] GET https://klaravex.com/wp-includes/js/jquery/jquery.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.418Z] GET https://klaravex.com/wp-includes/js/jquery/jquery-migrate.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.421Z] GET https://klaravex.com/wp-includes/js/zxcvbn-async.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.421Z] GET https://klaravex.com/wp-includes/js/dist/hooks.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.421Z] GET https://klaravex.com/wp-includes/js/dist/i18n.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.421Z] GET https://klaravex.com/wp-admin/js/password-strength-meter.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.421Z] GET https://klaravex.com/wp-includes/js/underscore.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.421Z] GET https://klaravex.com/wp-includes/js/wp-util.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.423Z] GET https://klaravex.com/wp-includes/js/dist/dom-ready.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.423Z] GET https://klaravex.com/wp-includes/js/dist/a11y.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.423Z] GET https://klaravex.com/wp-admin/js/user-profile.min.js → pending (?ms, ?B)
[2026-06-09T09:59:22.571Z] GET https://klaravex.com/wp-admin/images/wordpress-logo-gray.svg?ver=20260303 → 200 (49ms, 845B)
[2026-06-09T09:59:22.620Z] GET https://klaravex.com/wp-includes/js/zxcvbn.min.js → 200 (177ms, 389703B)
[2026-06-09T09:59:36.627Z] GET https://klaravex.com/wp-login.php → 200 (356ms, 2059B)
[2026-06-09T09:59:36.986Z] GET https://klaravex.com/wp-includes/css/dashicons.min.css → 200 (?ms, -533B)
[2026-06-09T09:59:36.986Z] GET https://klaravex.com/wp-includes/css/buttons.min.css → 200 (?ms, -354B)
[2026-06-09T09:59:36.986Z] GET https://klaravex.com/wp-admin/css/forms.min.css → 200 (?ms, -354B)
[2026-06-09T09:59:36.987Z] GET https://klaravex.com/wp-admin/css/l10n.min.css → 200 (?ms, -352B)
[2026-06-09T09:59:36.987Z] GET https://klaravex.com/wp-includes/css/dist/base-styles/admin-schemes.min.css → 200 (?ms, -352B)
[2026-06-09T09:59:36.987Z] GET https://klaravex.com/wp-admin/css/login.min.css → 200 (?ms, -354B)
[2026-06-09T09:59:36.987Z] GET https://klaravex.com/wp-includes/js/clipboard.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:36.987Z] GET https://klaravex.com/wp-includes/js/jquery/jquery.min.js → 200 (?ms, -370B)
[2026-06-09T09:59:36.988Z] GET https://klaravex.com/wp-includes/js/jquery/jquery-migrate.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:36.988Z] GET https://klaravex.com/wp-includes/js/zxcvbn-async.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:36.988Z] GET https://klaravex.com/wp-includes/js/dist/hooks.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:36.988Z] GET https://klaravex.com/wp-includes/js/dist/i18n.min.js → 200 (1ms, -368B)
[2026-06-09T09:59:36.989Z] GET https://klaravex.com/wp-admin/js/password-strength-meter.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:36.989Z] GET https://klaravex.com/wp-includes/js/underscore.min.js → 200 (1ms, -368B)
[2026-06-09T09:59:36.990Z] GET https://klaravex.com/wp-includes/js/wp-util.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:36.990Z] GET https://klaravex.com/wp-includes/js/dist/dom-ready.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:36.990Z] GET https://klaravex.com/wp-includes/js/dist/a11y.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:36.990Z] GET https://klaravex.com/wp-admin/js/user-profile.min.js → 200 (1ms, -368B)
[2026-06-09T09:59:36.994Z] GET https://klaravex.com/wp-admin/images/wordpress-logo-gray.svg?ver=20260303 → 200 (?ms, -356B)
[2026-06-09T09:59:36.995Z] GET https://klaravex.com/wp-includes/js/zxcvbn.min.js → 200 (?ms, -371B)
[2026-06-09T09:59:39.485Z] POST https://klaravex.com/wp-login.php → pending (?ms, ?B)
[2026-06-09T09:59:39.916Z] GET https://klaravex.com/wp-admin/ → 200 (562ms, 36963B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-admin/load-styles.php?c=1&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,wp-base-styles,buttons,wp-auth-check,wp-components,wp-commands&ver=7.0 → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/insert-headers-and-footers/build/admin-bar.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-includes/js/thickbox/thickbox.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/accessibility-widget/lite/admin/css/admin-notice.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/wp-2fa/dist/css/admin-style.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/css/admin-bar.min.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/seo-by-rank-math/assets/admin/css/dashboard-widget.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/litespeed-cache/assets/css/litespeed.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/litespeed-cache/assets/css/litespeed-dark-mode.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/code-snippets/dist/menu.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/css/dashboard-widget.min.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/css/limit-login-attempts.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=7.0 → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/js/chart.umd.js → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/images/dash-widget/wp/total.svg → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/images/dash-widget/wp/delivered.svg → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/wp-mail-smtp/assets/images/dash-widget/wp/unsent.svg → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-includes/css/editor.min.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/cookie-law-info/lite/admin/modules/dashboard-widget/assets/img/trends.svg → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-content/plugins/limit-login-attempts-reloaded/assets/css/jquery-ui.css → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=hoverIntent,wp-dom-ready,wp-hooks&ver=7.0 → pending (?ms, ?B)
[2026-06-09T09:59:40.484Z] GET https://klaravex.com/wp-includes/js/dist/i18n.min.js → 200 (1ms, -368B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-includes/js/dist/a11y.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-admin/js/common.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-content/plugins/insert-headers-and-footers/build/admin-bar.js → pending (?ms, ?B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-includes/js/hoverintent-js.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-includes/js/admin-bar.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-includes/js/clipboard.min.js → 200 (?ms, -367B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-includes/js/underscore.min.js → 200 (?ms, -368B)
[2026-06-09T09:59:40.485Z] GET https://klaravex.com/wp-includes/js/wp-util.min.js → 200 (?ms, -366B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/api-request.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/dist/url.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/site-health.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/wp-ajax-response.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/jquery/jquery.color.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/wp-lists.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/quicktags.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/jquery/jquery.query.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/edit-comments.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/jquery/ui/core.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/jquery/ui/mouse.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/jquery/ui/sortable.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/postbox.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/dist/vendor/moment.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/dist/deprecated.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/dist/date.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/dashboard.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/thickbox/thickbox.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/plugin-install.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/wp-sanitize.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-admin/js/updates.min.js → pending (?ms, ?B)
[2026-06-09T09:59:40.486Z] GET https://klaravex.com/wp-includes/js/shortcode.min.js → pending (?ms, ?B)
